County,RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Min Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Max Temperature (F),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day),RCP 8.5 Precipitation (in/day)
"2050_Kings County, New York City, NY",32.5446,33.0661,39.2155,47.7456,57.3059,67.8543,73.9385,73.1073,66.3951,55.0577,45.6594,36.6005,44.2613,46.4233,54.0114,64.5125,74.5953,84.6486,90.3102,88.2369,81.6092,70.3837,58.8486,48.1654,0.128693,0.132759,0.153857,0.146035,0.119562,0.112382,0.120943,0.142877,0.127682,0.111051,0.155861,0.139052
"2050_Los Angeles County, Los Angeles, CA",42.796,43.6866,45.5022,49.3599,54.7537,59.9274,65.8878,66.8017,63.2136,56.9532,47.9386,43.3201,63.5844,65.7905,68.8825,74.485,80.2527,86.192,92.8529,93.6761,90.0766,82.3963,71.1853,64.5004,0.11917,0.146037,0.0722432,0.0219742,0.0142246,0.00230747,0.00269936,0.0101277,0.0103925,0.0274637,0.0478948,0.0883252
"2050_Cook County, Chicago, IL",22.4136,25.8107,33.3318,43.5372,53.3825,65.0044,69.6518,68.0304,60.9729,49.2107,37.9972,28.5798,35.8403,40.3842,49.6568,63.5162,74.6653,86.7227,89.8765,87.8528,81.6239,69.4985,53.1504,41.2231,0.072357,0.0729191,0.101201,0.141084,0.128507,0.119856,0.133129,0.124508,0.114881,0.0794796,0.122335,0.101953
"2050_Harris Country, Houston, TX",45.805,49.3304,54.7737,63.0741,69.9351,75.4528,78.1026,77.8023,74.1935,65.3716,56.0966,47.958,66.278,69.4378,75.8855,82.757,88.7554,94.4059,97.3837,97.5643,93.7648,87.3927,76.3794,68.6123,0.115245,0.100889,0.0726281,0.114185,0.160149,0.195799,0.103234,0.123987,0.148749,0.118792,0.145512,0.122897
"2050_Philadelphia County, Philadelphia, PA",31.1656,31.8272,38.5527,47.2232,56.608,67.0854,72.4979,71.1973,64.3997,52.4257,43.0902,34.8981,45.3365,48.0116,56.5382,68.2346,78.0455,88.068,92.7437,90.3031,83.7591,72.2157,60.113,49.1892,0.128385,0.131093,0.15178,0.141385,0.120378,0.129026,0.138132,0.152407,0.137447,0.100048,0.1437,0.137856
"2050_Maricopa Country, Phoenix, AZ",42.0991,44.9148,48.3569,55.6164,63.7231,72.2442,80.0431,79.9585,74.1304,63.1198,49.3231,41.9566,69.993,73.8607,79.8345,88.9232,97.6917,105.863,108.509,107.426,103.652,94.0203,79.5422,70.3242,0.0327752,0.0464338,0.026247,0.00836174,0.00218494,0.00380657,0.0386216,0.0469583,0.0290743,0.0271419,0.0226032,0.0351694
"2050_Bexar County, San Antonio, TX",43.2576,47.4997,52.9035,61.9502,68.9635,74.5515,77.057,76.8698,73.591,64.5518,54.4296,45.5173,67.5298,70.81,78.7689,85.5232,90.4992,96.6137,99.6549,100.297,95.0939,87.9454,76.2181,69.0354,0.0438244,0.0582037,0.0410965,0.0815533,0.127089,0.124898,0.0678546,0.0728563,0.113807,0.103452,0.0894424,0.0570603
"2050_San Diego County, San Diego, CA",42.8179,43.2312,44.9192,48.7102,53.1243,57.7624,63.5748,65.3621,62.5295,55.9735,47.685,42.8964,66.9453,68.26,70.3918,76.4156,82.0425,87.9251,93.6848,94.8056,92.3477,85.0544,74.0631,67.9569,0.0913426,0.100527,0.0699474,0.0249556,0.0188401,0.00479354,0.0119388,0.0196182,0.0182245,0.0256694,0.0448452,0.070791
"2050_Dallas County, Dallas, TX",37.7838,42.3092,48.7218,58.173,66.4546,74.2006,78.5749,78.56,72.3647,61.5344,49.7517,40.9571,59.9959,64.7886,72.2289,81.2708,87.4779,95.8893,100.881,100.85,94.3719,85.9377,71.1721,62.526,0.0649868,0.0870666,0.0861708,0.141382,0.160639,0.113235,0.063027,0.0801055,0.0889883,0.105738,0.126965,0.0968606
"2050_Marion County, Indianapolis, IN",23.9678,27.1655,34.5606,45.4727,55.4949,66.109,69.6883,67.1977,60.3701,48.5015,38.2606,29.8194,39.5672,44.4695,53.4701,67.837,77.6586,88.4943,91.1749,89.4923,84.2218,72.3479,56.3818,44.2193,0.0890158,0.106833,0.118542,0.143991,0.163241,0.116674,0.170179,0.11843,0.0926386,0.0809007,0.14335,0.118983
"2050_Duval County, Jacksonville",46.8738,50.0501,55.3423,61.5546,68.7673,74.4817,77.0124,77.0046,75.4583,67.084,57.4386,49.9825,67.8978,71.4529,77.2827,83.2999,89.5341,92.6524,95.4753,94.4847,91.4938,84.6746,77.7462,70.3272,0.0951667,0.107117,0.152728,0.0831471,0.122219,0.22682,0.199107,0.225486,0.254804,0.151997,0.0733331,0.113277
"2050_San Francisco County, San Francisco CA",48.2426,49.5655,50.4229,51.698,53.86,55.7988,57.4917,59.0572,59.0862,57.2517,52.5428,48.9054,60.3723,63.2842,64.8294,66.8346,68.9718,70.4134,71.0194,72.4667,74.7267,73.5891,66.8073,60.8487,0.178569,0.156447,0.0946681,0.0401112,0.0160912,0.00470518,0.00116167,0.00573189,0.0106168,0.0426711,0.0808873,0.184619
"2050_Franklin County, Columbus, OH",25.4934,28.0256,34.9275,44.7122,54.4351,64.52,68.4437,66.3991,59.6547,47.7803,38.5211,30.9557,40.6983,45.0699,54.6974,68.4782,78.0432,88.118,91.1184,89.1192,83.8419,72.3943,57.0451,44.9198,0.106202,0.100737,0.115376,0.141244,0.148406,0.11837,0.149914,0.126849,0.0914209,0.0651608,0.125948,0.0974202
"2050_Mecklenburg County, Charlotte, NC",34.6229,36.3584,43.4498,52.2148,60.7013,69.2247,73.391,72.6268,66.6541,54.4092,44.1588,35.9891,55.0928,59.2308,66.9097,77.7219,84.4515,91.5877,94.4406,92.8728,87.6065,78.9451,67.877,58.0871,0.124232,0.153503,0.16579,0.119413,0.119036,0.145274,0.142994,0.140174,0.13497,0.0833496,0.103917,0.116157
"2050_Wayne County, Detroit, MI",24.8848,25.7676,32.412,42.3254,52.6655,63.5093,67.6342,65.9167,59.0975,47.3959,38.1121,30.1443,36.8023,40.0022,49.128,63.3381,74.7309,85.5034,89.4143,87.1433,80.8963,67.7931,53.1531,41.5543,0.0816715,0.087936,0.0942141,0.114808,0.113656,0.122632,0.100104,0.102118,0.0987889,0.0768562,0.103387,0.0949706
"2050_Shelby County, Memphis, TN",33.8113,38.0739,44.9419,55.2234,63.4452,71.9524,76.3275,74.1881,68.4073,56.0363,45.656,37.756,52.0856,57.6016,65.68,77.3279,84.9766,93.3311,96.7294,94.9608,90.4549,81.0294,66.5805,55.9466,0.136413,0.172776,0.17546,0.2054,0.163263,0.114491,0.126191,0.10922,0.107979,0.0778372,0.180825,0.177731
"2050_King County, Seattle Washington",34.6261,35.3602,37.1112,39.8151,44.3776,49.6808,54.898,55.2163,51.3536,44.5042,38.3782,35.2961,44.3523,47.6108,51.6799,57.6925,64.2801,70.214,78.4673,77.8339,72.518,60.0549,49.1347,44.7138,0.375394,0.342507,0.281842,0.203228,0.137319,0.106775,0.0529111,0.0848222,0.0843921,0.232898,0.397156,0.369451
"2050_Denver County, Denver, CO",22.8206,26.3781,30.6955,39.2881,48.2276,57.7244,63.5361,62.4806,54.4625,43.1343,30.3774,24.7936,49.3871,52.443,57.6744,66.874,75.6564,87.5891,93.8222,91.8467,84.7696,73.8348,56.9223,50.654,0.0160333,0.021434,0.0480416,0.064961,0.0975046,0.0556695,0.0635624,0.055479,0.0352436,0.0301279,0.03383,0.0189962
"2050_District of Columbia, Washington DC",31.4407,32.5143,39.6865,48.6487,57.7916,68.0549,73.0039,71.5357,65.0615,52.4772,42.6062,34.8862,48.117,51.5646,59.9845,71.9972,80.3685,89.8696,94.2879,91.795,85.6813,74.5451,62.5111,51.5166,0.10769,0.127018,0.137947,0.11672,0.129147,0.133674,0.123466,0.138602,0.122734,0.0960472,0.122089,0.121365
"2050_Suffolk County, Boston, MA",27.9158,27.6288,34.567,42.953,52.6565,62.8154,69.3769,68.2493,60.3175,49.2627,40.8035,31.1324,42.3141,43.3921,50.5017,61.099,72.2964,82.6146,88.2323,86.0318,78.0441,67.2173,56.0531,45.316,0.160822,0.152188,0.16495,0.140027,0.119061,0.105662,0.0908393,0.125765,0.131392,0.122197,0.163327,0.162015
"2050_Jefferson County, Louisville, KY",29.2541,32.1678,39.1036,48.9555,57.8979,67.583,71.7815,69.8564,63.6149,51.3167,41.4143,33.7025,46.2175,51.4516,60.2058,73.3822,81.1916,90.3819,93.7945,92.4887,87.2633,76.4686,61.2001,50.022,0.121067,0.159084,0.171162,0.153559,0.156073,0.126196,0.155941,0.116916,0.0890888,0.0729617,0.150384,0.140847
"2050_Clark County, NV",36.3967,39.5434,43.3276,50.9014,59.7954,68.3003,76.0874,75.5265,67.9508,56.9881,43.7089,36.7349,59.2938,63.4389,70.2647,79.264,89.6833,98.5331,104.085,102.722,96.455,84.9064,68.3808,59.8767,0.0240475,0.0385698,0.021098,0.00895979,0.00651065,0.00401076,0.0350551,0.0259013,0.0171389,0.0195564,0.0198856,0.0260997
